about_to_divide	cell_age	cellxposition	cellyposition	channel_average_cells	channel_in_multipoint	channel_orientation	channel_width	division_age	elongation_rate	fluorescence_0	fluorescence_background_0	fluorescence_count	fluorescence_raw_0	fluorescence_std_0	length	multipoint	timepoint	timepoint_num	uid_cell	uid_parent	uid_thiscell	uid_track
0	21.00864703	176.5	460.61373178	6.92083333	0	0	1.235	26.79492063	0.00143542	-10.81644277	3248.65848379	1	3237.84204102	64.2277832	2.015	0	76700.7409706	84	35	0	119	35
0	21.12234209	173.5	461.55636983	6.92083333	0	0	1.235	26.79492063	-0.00977273	-8.66153252	3249.35489189	1	3240.69335938	66.80678558	1.755	0	77110.043196	85	35	0	120	35
0	21.37111839	177.5	462.61055984	6.92083333	0	0	1.235	26.79492063	-0.00223315	-7.49985816	3248.99595191	1	3241.49609375	62.37902069	1.625	0	78005.6378852	86	35	0	121	35
0	21.62129015	174.5	460.08610743	6.92083333	0	0	1.235	26.79492063	0.00333104	-10.05602887	3249.12707379	1	3239.07104492	61.77728653	1.82	0	78906.25622745	87	35	0	122	35
0	22.00850026	175.5	460.58610743	6.92083333	0	0	1.235	26.79492063	-0.00071738	-8.84774345	3246.00936455	1	3237.16162109	69.60345459	1.755	0	80300.21261688	88	35	0	123	35
0	22.12262903	175.0	461.08570313	6.92083333	0	0	1.3	26.79492063	0.0024339	-8.23010017	3246.04650642	1	3237.81640625	69.95747375	1.82	0	80711.07617218	89	35	0	124	35
0	22.37722912	174.5	459.58691602	6.92083333	0	0	1.235	26.79492063	-0.00327311	-7.58692989	3246.05616817	1	3238.46923828	69.33377838	1.625	0	81627.63650923	90	35	0	125	35
0	22.79496796	174.0	460.02955611	6.92083333	0	0	1.17	26.79492063	-0.00066496	-6.57974209	3246.26162685	1	3239.68188477	75.22652435	1.56	0	83131.49631613	91	35	0	126	35
0	23.18194756	175.0	460.52924154	6.92083333	0	0	1.17	26.79492063	0.00215343	-6.16058953	3247.47308953	1	3241.3125	66.87804413	1.755	0	84524.62288635	92	35	0	127	35
0	23.29601995	175.0	461.52843294	6.92083333	0	0	1.17	26.79492063	0.0048702	-6.84760125	3247.47308953	1	3240.62548828	67.48526764	1.885	0	84935.28349508	93	35	0	128	35
0	23.5448382	174.0	456.05864144	6.92083333	0	0	1.17	26.79492063	-0.00781472	-7.18979222	3247.57651097	1	3240.38671875	66.43643951	1.43	0	85831.0292036	94	35	0	129	35
0	23.79531585	175.0	457.0862135	6.92083333	0	0	1.17	26.79492063	0.0	-5.92820637	3247.44554035	1	3241.51733398	63.40923309	1.43	0	86732.74873195	95	35	0	130	35
0	24.18225242	174.0	456.05775368	6.92083333	0	0	1.17	26.79492063	0.0	-16.85543094	3249.08565555	1	3232.23022461	69.32952118	1.43	0	88125.720372	96	35	0	131	35
0	24.29609196	173.5	458.55519452	6.92083333	0	0	1.235	26.79492063	-0.00244008	-18.5351734	3249.17482184	1	3230.63964844	74.69104767	1.365	0	88535.54273205	97	35	0	132	35
0	24.54495294	174.5	458.55519452	6.92083333	0	0	1.235	26.79492063	0.0	-19.96925987	3249.68703331	1	3229.71777344	73.54064178	1.365	0	89431.44227253	98	35	0	133	35
0	24.79473913	174.5	461.55686589	6.92083333	0	0	1.235	26.79492063	0.0088965	-20.7114212	3249.15722198	1	3228.44580078	68.66934967	1.885	0	90330.67254868	99	35	0	134	35
0	25.18252545	175.5	462.58396709	6.92083333	0	0	1.235	26.79492063	-0.00143263	-10.8908496	3248.62498046	1	3237.73413086	70.86940002	1.755	0	91726.7032755	100	35	0	135	35
0	25.29583697	174.5	462.05597806	6.92083333	0	0	1.235	26.79492063	0.00245145	-10.94305949	3248.71771769	1	3237.7746582	73.59046173	1.82	0	92134.62476735	101	35	0	136	35
0	25.54475932	174.0	462.05597806	6.92083333	0	0	1.17	26.79492063	0.0	-11.34447399	3248.8469154	1	3237.50244141	74.19570923	1.82	0	93030.7452402	102	35	0	137	35
0	25.79461643	176.5	461.5826353	6.92083333	0	0	1.235	26.79492063	0.00111175	-10.16721844	3248.61326336	1	3238.44604492	68.57953644	1.885	0	93930.2308303	103	35	0	138	35
0	26.18274495	174.5	425.05558629	6.92083333	0	0	1.235	26.79492063	0.0050098	5.87281944	3250.37351845	1	3256.24633789	75.11009979	2.34	0	95327.4934869	104	35	0	139	35
0	26.29584202	172.5	425.58449024	6.92083333	0	0	1.235	26.79492063	0.0024561	0.35033058	3250.77344872	1	3251.1237793	68.4987793	2.405	0	95734.64295205	105	35	0	140	35
0	26.5448505	175.5	427.55471076	6.92083333	0	0	1.235	26.79492063	0.00446214	3.08811584	3250.44020447	1	3253.52832031	68.70007324	2.665	0	96631.0734564	106	35	0	141	35
0	0.0	171.5	173.52630182	6.92083333	0	0	1.235	nan	0.0	14.63862626	3246.07670577	1	3260.71533203	68.22136688	1.235	0	2864.2487442	3	142	0	143	142
0	0.38817653	168.5	176.47201097	6.92083333	0	0	1.235	nan	0.00572477	28.39455206	3247.67942255	1	3276.07397461	83.75043488	1.755	0	4261.6842352	4	142	0	144	142
0	0.0	168.5	210.97201097	6.92083333	0	0	1.235	0.36181253	0.0	6.99172003	3247.67942255	1	3254.67114258	76.93106079	2.47	0	4261.6842352	4	146	1	145	1
1	0.11312124	169.5	198.02722005	6.92083333	0	0	1.235	0.36181253	0.0098223	3.56365443	3247.5554862	1	3251.11914062	66.86003113	2.73	0	4668.92071675	5	146	1	147	1
0	0.0	168.5	246.97201097	6.92083333	0	0	1.235	nan	0.0	2.29298956	3247.67942255	1	3249.97241211	84.17453766	1.95	0	4261.6842352	4	149	1	148	1
0	0.11312124	169.5	237.52722005	6.92083333	0	0	1.235	nan	0.00736673	16.53972865	3247.5554862	1	3264.09521484	68.86971283	2.145	0	4668.92071675	5	149	1	150	1
0	0.36181253	172.5	243.47207546	6.92083333	0	0	1.235	nan	0.00670175	10.63042655	3247.45111642	1	3258.08154297	69.99449158	2.535	0	5564.20932575	6	149	1	151	1
0	0.0	168.5	353.97201097	6.92083333	0	0	1.235	3.61195355	0.0	10.229513	3247.67942255	1	3257.90893555	84.26378632	1.69	0	4261.6842352	4	153	26	152	26
